ID,Product Name,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein - g,Total lipid (fat),Total Carbohydrate,Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K",Sodium/Salt,"Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid",Thiamin	Riboflavin,Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans",Saturated Fat,Vitamin B-6,Vitamin B-12,Added Sugars,Category,mapping,Chicken Soup,Eggs,Milk,Protein - cal,Carb - cal
5,"Great Value Large White Eggs, 12 Count",78742127071,0.0,0,0,-1.5523068519550427,10.7,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9483765394354277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5987113379649394,0.0,0.0,0.0,Eggs,Eggs,0,1,0,42.8,9.44
73,"Great Value 2% Reduced Fat Milk, 128 Fl Oz",78742351872,240.0,ml,0,-0.42975953611375034,3.33,18.72,5.0,54.0,54.0,0.0,125.0,0.0,0.0,0.0,167.0,-0.5227892835114961,0.0,208.0,0.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.3654423331681101,0.0,0.0,0.0,Milk,Milk,0,0,1,13.32,20.0
76,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",78742351865,240.0,ml,0,-0.42975953611375034,26.3,240.29999999999998,38.4,0.0,0.0,0.0,912.0,0.47,85.0,776.0,1330.0,1.9755655336715836,3.34,934.0,0.58,420.0,0.0,8.6,0.0,0.646,2.2,0.0,119.0,38.4,0.0,2.5177625661207,0.302,3.25,0.0,Milk,Milk,0,0,1,105.2,153.6
83,"Great Value Whole Vitamin D Milk, Half Gallon, 64 fl oz",78742352008,240.0,ml,0,-1.1671190474996975,26.3,240.29999999999998,38.4,0.0,0.0,0.0,912.0,0.47,85.0,776.0,1330.0,1.9755655336715836,3.34,934.0,0.58,420.0,0.0,8.6,0.0,0.646,2.2,0.0,119.0,38.4,0.0,2.5177625661207,0.302,3.25,0.0,Milk,Milk,0,0,1,105.2,153.6
91,"Great Value Fat Free Milk, Gallon, 128 fl oz",78742351896,240.0,ml,0,-0.42975953611375034,3.43,0.72,4.92,34.0,34.0,0.0,132.0,0.0,12.0,107.0,167.0,-0.6252454747524426,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,18.2,5.05,0.0,-0.5895671929769036,0.058,0.58,0.0,Milk,Milk,0,0,1,13.72,19.68
95,"Hiland 2% Reduced Fat Milk, Gallon, 128 fl oz",72060007176,0.0,0,0,0.6047448529948921,3.36,17.099999999999998,4.9,50.0,50.0,0.0,126.0,0.0,12.0,103.0,159.0,-0.6410079657125882,0.43,0.0,0.03,0.0,0.0,0.2,0.0,0.112,0.2,0.0,18.2,4.89,0.0,-0.3915684617053549,0.061,0.55,0.0,Milk,Milk,0,0,1,13.44,19.6
102,"Hiland 2% Reduced Fat Milk, Half Gallon, 64 fl oz",72060007114,240.0,ml,0,-0.3967434385890064,3.36,17.099999999999998,4.9,50.0,50.0,0.0,126.0,0.0,12.0,103.0,159.0,-0.6410079657125882,0.43,0.0,0.03,0.0,0.0,0.2,0.0,0.112,0.2,0.0,18.2,4.89,0.0,-0.3915684617053549,0.061,0.55,0.0,Milk,Milk,0,0,1,13.44,19.6
107,"Hiland Whole Vitamin D Milk, Gallon, 128 fl oz",72060001174,0.0,0,0,0.6047448529948921,26.3,240.29999999999998,38.4,0.0,0.0,0.0,912.0,0.47,85.0,776.0,1330.0,1.9755655336715836,3.34,934.0,0.58,420.0,0.0,8.6,0.0,0.646,2.2,0.0,119.0,38.4,0.0,2.5177625661207,0.302,3.25,0.0,Milk,Milk,0,0,1,105.2,153.6
116,"Hiland Whole Vitamin D Milk, Half Gallon, 64 fl oz",72060001112,240.0,ml,0,-0.2646790484900307,26.3,240.29999999999998,38.4,0.0,0.0,0.0,912.0,0.47,85.0,776.0,1330.0,1.9755655336715836,3.34,934.0,0.58,420.0,0.0,8.6,0.0,0.646,2.2,0.0,119.0,38.4,0.0,2.5177625661207,0.302,3.25,0.0,Milk,Milk,0,0,1,105.2,153.6
129,"Hiland Vitamin D Milk, 16 Oz.",72060000573,0.0,0,0,-1.6293444128461123,3.46,9.99,10.2,0.0,0.0,0.1,129.0,0.23,13.0,96.0,172.0,-0.43609558323069525,0.43,174.0,0.0,43.0,0.0,0.4,0.0,0.124,0.1,0.0,17.0,9.94,0.0,-0.4837563724010619,0.047,0.23,0.0,Milk,Milk,0,0,1,13.84,40.8
144,"Hiland 2% Reduced Fat Milk, 1 Quart",72060000467,240.0,ml,0,-0.8699741697770023,3.36,17.099999999999998,4.9,50.0,50.0,0.0,126.0,0.0,12.0,103.0,159.0,-0.6410079657125882,0.43,0.0,0.03,0.0,0.0,0.2,0.0,0.112,0.2,0.0,18.2,4.89,0.0,-0.3915684617053549,0.061,0.55,0.0,Milk,Milk,0,0,1,13.44,19.6
153,"Hiland Vitamin D Milk, 1 Quart",72060000122,0.0,0,0,-0.8369580722522584,3.37,8.73,4.99,42.0,42.0,0.0,125.0,0.03,11.0,95.0,150.0,-0.6016017383122242,0.42,47.0,0.01,1.0,0.0,0.0,0.0,0.093,0.1,0.0,17.7,5.2,0.0,-0.480583913935825,0.037,0.47,0.0,Milk,Milk,0,0,1,13.48,19.96
184,"a2 Milk, Ultra-Pasteurized 2% Reduced Fat Milk, 59 fl oz.",813267020076,240.0,ml,0.5 GAL/1.89 L,0.07648729259898968,4.17,18.72,5.42,58.0,58.0,0.0,146.0,0.0,0.0,0.0,192.0,-0.49126430159120493,0.0,2500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,-0.3654423331681101,0.0,0.0,0.0,Milk,Milk,0,0,1,16.68,21.68
191,"Horizon Organic Whole High Vitamin D Milk, 1 Gallon",742365006753,240.0,ml,1 gal,2.3105765584399935,3.33,29.97,5.42,67.0,67.0,0.0,104.0,0.0,0.0,83.0,117.0,-0.5070267925513505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.21055171398301542,0.0,1.25,0.0,Milk,Milk,0,0,1,13.32,21.68
202,"Hiland 2% Reduced Fat Milk, 16 Oz.",72060000405,0.0,0,0,-1.6293444128461123,3.36,17.099999999999998,4.9,50.0,50.0,0.0,126.0,0.0,12.0,103.0,159.0,-0.6410079657125882,0.43,0.0,0.03,0.0,0.0,0.2,0.0,0.112,0.2,0.0,18.2,4.89,0.0,-0.3915684617053549,0.061,0.55,0.0,Milk,Milk,0,0,1,13.44,19.6
216,"Hiland 1% Low Fat Milk, Half Gallon",72060013115,0.0,0,0,-0.4847863653216569,3.38,8.549999999999999,5.18,43.0,43.0,0.0,126.0,0.0,12.0,103.0,159.0,-0.6410079657125882,0.43,0.0,0.02,0.0,0.0,0.0,0.0,0.113,0.1,0.0,17.4,4.96,0.0,-0.4927139021852601,0.06,0.61,0.0,Milk,Milk,0,0,1,13.52,20.72
223,"Horizon Organic 2% Reduced Fat High Vitamin D Milk, 1 Gallon",742365006746,240.0,ml,0,2.3105765584399935,3.3,17.82,4.8,0.0,0.0,0.0,120.0,0.02,11.0,92.0,140.0,-0.5779580018720057,0.48,190.0,0.03,49.0,0.0,0.2,0.0,0.092,0.2,0.0,16.4,5.06,0.085,-0.36357618112973544,0.038,0.53,0.0,Milk,Milk,0,0,1,13.2,19.2
1103,"Hiland Skim Milk, Half Gallon",72060019117,0.0,0,0,-0.5508185603711445,3.43,0.72,4.92,34.0,34.0,0.0,132.0,0.0,12.0,107.0,167.0,-0.6252454747524426,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,18.2,5.05,0.0,-0.5895671929769036,0.058,0.58,0.0,Milk,Milk,0,0,1,13.72,19.68
1105,"Hiland 1% Low Fat Milk, Gallon, 128 fl oz",72060013177,0.0,0,0,0.6047448529948921,3.38,8.549999999999999,5.18,43.0,43.0,0.0,126.0,0.0,12.0,103.0,159.0,-0.6410079657125882,0.43,0.0,0.02,0.0,0.0,0.0,0.0,0.113,0.1,0.0,17.4,4.96,0.0,-0.4927139021852601,0.06,0.61,0.0,Milk,Milk,0,0,1,13.52,20.72
1111,"Horizon Organic Whole High Vitamin D Milk, Half Gallon",742365264450,240.0,ml,1 gal,0.4066482678464285,3.33,29.97,5.42,67.0,67.0,0.0,104.0,0.0,0.0,83.0,117.0,-0.5070267925513505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.21055171398301542,0.0,1.25,0.0,Milk,Milk,0,0,1,13.32,21.68
1119,"Horizon Organic 2% Reduced Fat High Vitamin D Milk, Half Gallon",742365264252,240.0,ml,0,0.4066482678464285,3.3,17.82,4.8,0.0,0.0,0.0,120.0,0.02,11.0,92.0,140.0,-0.5779580018720057,0.48,190.0,0.03,49.0,0.0,0.2,0.0,0.092,0.2,0.0,16.4,5.06,0.085,-0.36357618112973544,0.038,0.53,0.0,Milk,Milk,0,0,1,13.2,19.2
1125,"Hiland 1% Lowfat Milk, 1 qt",72060000559,0.0,0,0,-0.8699741697770023,12.4,9.18,2.72,72.0,72.0,0.0,61.0,0.14,5.0,134.0,86.0,2.2514091254741317,0.38,41.0,0.01,0.0,0.0,0.0,0.0,0.128,0.1,0.0,17.5,2.72,0.0,-0.47834453148977546,0.068,0.63,0.0,Milk,Milk,0,0,1,49.6,10.88
1144,"Horizon Organic Whole Grassfed Milk, Half Gallon",742365007071,240.0,ml,1 Quart/946 mL,1.0119433891334004,3.33,29.97,5.0,62.0,62.0,0.0,125.0,0.0,0.0,83.0,158.0,-0.5543142654317874,0.0,125.0,0.0,42.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.58,0.0,-0.21055171398301542,0.0,0.5,0.0,Milk,Milk,0,0,1,13.32,20.0
1449,"Horizon Organic Nonfat High Vitamin D Milk, Half Gallon",742365264054,240.0,ml,0,0.4066482678464285,7.55,1.8,11.4,0.0,0.0,0.0,290.0,0.29,27.0,195.0,332.0,-0.042033309227054935,0.9,394.0,0.0,79.0,0.0,1.2,0.0,0.174,0.0,0.0,25.2,11.4,0.0,-0.5761308983006063,0.055,0.24,0.0,Milk,Milk,0,0,1,30.2,45.6
1457,"Lactaid Fat Free Milk, 96 oz",41383090707,240.0,ml,0,1.232050705965026,3.43,0.72,4.92,34.0,34.0,0.0,132.0,0.0,12.0,107.0,167.0,-0.6252454747524426,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,18.2,5.05,0.0,-0.5895671929769036,0.058,0.58,0.0,Milk,Milk,0,0,1,13.72,19.68
1462,"Horizon Organic 2% Reduced Fat Grassfed Milk, Half Gallon",742365007088,240.0,ml,0.5 GAL/1.89 L,1.0119433891334004,3.33,18.72,5.42,54.0,54.0,0.0,133.0,0.0,0.0,100.0,175.0,-0.5070267925513505,0.0,2500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.3654423331681101,0.0,0.54,0.0,Milk,Milk,0,0,1,13.32,21.68
1886,"Happy Egg Organic Free Range Large Brown Eggs, 12 Count",887422000081,0.0,0,48 OZ/3 LB/1.36 kg,0.4396643653711727,12.0,90.0,0.0,140.0,140.0,0.0,60.0,1.8,0.0,0.0,140.0,0.15499782777476523,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03886572645254908,0.0,0.0,0.0,Eggs,Eggs,0,1,0,48.0,0.0
2522,"Marketside Organic Cage Free Brown Large Eggs, 18 Count",681131122801,0.0,0,0,0.9239004624007499,12.0,90.0,0.0,140.0,140.0,0.0,56.0,2.0,0.0,0.0,138.0,0.15499782777476523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03886572645254908,0.0,0.0,0.0,Eggs,Eggs,0,1,0,48.0,0.0
4364,"Progresso Gluten Free Homestyle Chicken Soup, 14 oz.",41196123630,0.0,0,0,-0.6938883163117016,2.46,7.38,5.33,37.0,37.0,0.4,0.0,0.0,0.0,0.0,143.0,1.3765908771860504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,-0.5613882971974467,0.0,0.0,0.0,Chicken Soup,Chicken Soup,1,0,0,9.84,21.32
4593,"Marketside Organic Cage Free Large Brown Eggs, 12 Count",681131122771,0.0,0,0,-0.11610660962868313,12.0,90.0,0.0,140.0,140.0,0.0,56.0,2.0,0.0,0.0,138.0,0.15499782777476523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03886572645254908,0.0,0.0,0.0,Eggs,Eggs,0,1,0,48.0,0.0
