lower_short_description,food_code
milk,11000000
buttermilk,11115300
goat's milk14202010,11116000
kefir,11115400
chocolate milk,11511100
hot chocolate / cocoa,11514110
strawberry milk,11519050
non-dairy milk,11300100
soy milk,11320000
almond milk,11350000
rice milk,11360000
coconut milk,11370000
coconut cream,42402010
yogurt,11400000
yogurt parfait,11446000
chipotle dip,11440010
onion dip,11440030
ranch dip,11440040
spinach dip,11440050
tzatziki dip,11440060
vegetable dip,11440070
dip,12350010
white sauce or gravy,13411000
artichoke dip,14620110
spinach and artichoke dip,14620115
seafood dip,14620130
cheese dip with chili pepper,14620150
cheese dip,14620200
cheese fondue,14630100
welsh rarebit,14630300
cheese sauce,14650100
alfredo sauce,14650160
alfredo sauce with added vegetables,14650165
alfredo sauce with meat,14650170
alfredo sauce with meat and added vegetables,14650175
alfredo sauce with poultry,14650180
alfredo sauce with poultry and added vegetables,14650185
alfredo sauce with seafood,14650190
alfredo sauce with seafood and added vegetables,14650195
gravy,28500000
mole sauce,28522000
bean dip,41205050
layer dip,41205055
hummus,41205070
black bean sauce,41205100
peanut sauce,42204050
guacamole,63409010
guacamole with tomatoes,63409015
enchilada sauce,74402260
salsa verde or salsa,74402350
eggplant dip,75412030
garlic sauce,81301000
lemon-butter sauce,81301020
hollandaise sauce,81302010
pesto sauce,81302070
sauce,81308200
curry sauce,81312100
frozen yogurt,11459990
frozen yogurt sandwich,11461200
frozen yogurt bar,11461210
frozen yogurt cone,11461250
ice cream,13110000
gelato,13110460
ice cream bar,13120050
ice cream candy bar,13120110
ice cream sandwich,13120500
ice cream cookie sandwich,13120550
ice cream cone,13120730
ice cream sundae,13121000
banana split,13121120
light ice cream,13130100
soft serve,13130700
light ice cream sandwich,13135000
light ice cream bar,13140000
creamsicle,13140700
fudgesicle,13140900
light ice cream cone,13142100
sherbet,13150000
baby toddler food,11480000
baby toddler fruit,67100250
baby toddler fruit and vegetables,67100350
baby toddler fruit and meat,67100480
baby toddler juice,67250150
baby toddler vegetables,76407050
baby toddler vegetables and meat,76407080
baby toddler yogurt,11480010
eggnog,11531000
milk shake,11541110
milk shake with malt,11541400
chocolate milk drink,11560000
ice cream soda,13120800
licuado or batido,11551050
fruit smoothie,11553100
fruit smoothie juice drink,11553130
fruit and vegetable smoothie,78101100
vegetable smoothie,78101130
corn beverage,92306100
horchata beverage,92610020
oatmeal beverage with water,92611010
oatmeal beverage with milk,92611100
cornmeal beverage,92613010
cornmeal beverage with chocolate milk,92613510
infant formula,11710000
toddler formula,11710481
whey,11825000
cocoa powder,11830150
chocolate beverage powder,11830160
strawberry beverage powder,11830400
wheat germ,57412000
wheat bran,57601100
oats,57602100
cereal,57602500
basil,75109400
chives,75109500
cilantro,75109550
parsley,75119000
seaweed,75232000
yeast,75236000
vegetable mixture,75365000
bacon,89901000
ham,89901002
beef,89901004
chicken,89901006
cream sauce,89901010
soy based sauce,89901040
tomato sauce,89901050
coffee,92191100
coffee substitute,92291300
tea,92307000
fruit flavored drink,92900100
sports drink,92900300
cheese as ingredient in sandwiches,99991400
cheese and queso as ingredient,99991410
beef as ingredient in recipes,99992100
breakfast meat as ingredient in omelet,99992230
chicken as ingredient in recipes,99992405
fish fillet,99992610
breading or batter as ingredient in food,99995000
wheat bread as ingredient in sandwiches,99995130
wheat bun as ingredient in sandwiches,99995135
spinach,99997210
broccoli,99997220
carrots,99997310
tomatoes,99997410
onions,99997510
mushrooms,99997515
green pepper,99997520
red pepper,99997525
cabbage,99997530
cauliflower,99997535
eggplant,99997540
green beans,99997545
summer squash,99997550
dark green vegetables as ingredient in omelet,99997800
tomatoes as ingredient in omelet,99997802
other vegetables as ingredient in omelet,99997804
vegetables as ingredient in curry,99997810
sauce as ingredient in hamburgers,99998130
industrial oil as ingredient in food,99998210
cream,12100100
coffee creamer,12200100
whipped topping,12220200
sour cream,12310100
cream cheese,14301010
cream cheese spread,14410380
cheese spread,14420200
pudding,13200110
custard,13210300
flan,13210350
creme brulee,13210370
firni,13210450
banana pudding,13241000
mousse,13250000
dulce de leche,13252200
barfi or burfi,13252500
trifle,13252590
meringues,32401000
lime souffle,63403150
haupia,91560100
tiramisu,13252600
cake or cupcake,53100100
cake,53101100
cheesecake,53104500
snack cake,53108200
ice cream cake,53112100
pie,53300100
tart,53300200
dessert pizza,53344300
pie shell,53391000
cobbler,53410100
crisp,53415100
strudel,53440000
baklava,53441110
basbousa,53441210
turnover,53450000
empanada,53453150
cheese,14010000
queso anejo,14131000
queso asadero,14131500
queso fresco,14133000
queso cotija,14134000
imitation cheese,14502000
cheese ball,14610520
mozzarella sticks,14660200
cottage cheese,14201200
puerto rican white cheese,14203510
topping from cheese pizza,14620300
topping from vegetable pizza,14620310
topping from meat pizza,14620320
topping from meat and vegetable pizza,14620330
pizza,58106200
pizza with cheese and extra vegetables,58106345
pizza with pepperoni,58106512
pizza with meat other than pepperoni,58106602
pizza with extra meat,58106650
pizza with meat and vegetables,58106700
pizza with extra meat and extra vegetables,58106736
pizza with meat and fruit,58106750
pizza with beans and vegetables,58106820
white pizza,58107205
calzone,58108000
pizza rolls,58108050
cheese souffle,14630200
egg,31101010
duck egg,31201000
goose egg,31202000
quail egg,31203000
egg salad,32103000
huevos rancheros,32105180
egg casserole with bread,32105190
egg omelet or scrambled egg,32129990
egg white omelet,32400055
egg white,32400100
egg substitute,33001010
cheese sandwich,14640000
grilled cheese sandwich,14640100
mozzarella cheese,14670000
tomato aspic,74501010
tomato and cucumber salad made with tomato,74506000
broccoli salad with cauliflower,75140500
broccoli slaw salad,75140510
coleslaw,75140990
cabbage salad,75141040
cucumber and vegetable namasu,75142000
cucumber salad,75142500
cucumber salad made with cucumber and vinegar,75142600
bean salad,75302080
pea salad,75416500
pea salad with cheese,75416600
cheddar cheese soup,14710100
oxtail soup,28310150
beef broth,28310170
meatball soup,28310230
pho,28310330
pepperpot soup,28311010
menudo soup,28311020
beef vegetable soup with potato,28315050
beef vegetable soup,28315140
meat and corn hominy soup,28315150
italian wedding soup,28315160
pork vegetable soup with potato,28320160
pork with vegetable excluding carrots,28320300
chicken or turkey broth,28340110
chicken or turkey gumbo soup,28340310
chicken or turkey noodle soup,28340510
sweet and sour soup,28340550
chicken or turkey soup with vegetables,28340580
chicken or turkey corn soup with noodles,28340590
chicken or turkey vegetable soup,28340600
chicken or turkey vegetable soup with rice,28340630
chicken or turkey vegetable soup with noodles,28340640
chicken or turkey and corn hominy soup,28340680
hot and sour soup,28340750
chicken or turkey soup with vegetables and fruit,28340800
chicken or turkey soup,28345110
fish chowder,28350050
clam chowder,28350210
fish and vegetable soup,28351110
codfish,28351160
lobster bisque,28355250
shrimp soup,28355410
seafood soup with potatoes and vegetables including carrots,28355450
seafood soup with potatoes,28355460
seafood soup with vegetables including carrots,28355470
seafood soup with vegetables excluding carrots,28355480
meat broth,28360100
egg drop soup,32300100
bean soup,41601010
bean with bacon or ham soup,41601020
black bean soup,41601030
soybean soup,41601070
bean and ham soup,41601160
liquid from stewed kidney beans,41601200
garbanzo bean or chickpea soup,41602020
split pea and ham soup,41602030
split pea soup,41602050
lentil soup,41603010
soupy rice with chicken,58155410
soupy rice mixture with chicken and potatoes,58155510
soup,58400000
noodle soup,58400100
rice soup,58400200
barley soup,58401010
beef noodle soup,58402010
chicken or turkey rice soup,58404010
matzo ball soup,58404500
chicken or turkey soup with dumplings and potatoes,58404510
chicken or turkey soup with dumplings,58404520
instant soup,58407010
wonton soup,58408010
noodle soup with vegetables,58408500
sopa seca de fideo,58421010
sopa de fideo aguada,58421020
sopa seca de arroz,58421060
sopa de tortilla,58421080
potato soup,71801000
potato and cheese soup,71801100
potato chowder,71803010
plantain soup,71851010
broccoli soup,72302000
broccoli cheese soup,72302100
spinach soup,72307000
dark-green leafy vegetable soup with meat,72308000
dark-green leafy vegetable soup,72308500
squash,73502000
tomato soup,74601000
tomato beef soup,74603010
tomato noodle soup,74604500
tomato vegetable soup,74606010
tomato vegetable soup with noodles,74606020
asparagus soup,75601000
borscht,75601100
cabbage soup,75601200
cabbage with meat soup,75601210
kimchi soup,75601250
celery soup,75603020
gazpacho,75604600
mushroom soup,75607010
onion soup,75608100
pea soup,75609010
vegetable soup,75611010
seaweed soup,75647000
vegetable noodle soup,75649150
minestrone soup,75650990
vegetable beef soup,75651020
vegetable rice soup,75651070
vegetable beef soup with noodles or pasta,75652040
vegetable beef soup with rice,75652050
vegetable broth,75657000
meat,20000000
steak,21001000
veal,23201010
mock chicken legs,23220020
barbecue beef,27116210
baby toddler meat,20000300
baby toddler beef,21701010
baby toddler ham,22810010
baby toddler meat stick,22820000
baby toddler chicken,24701010
baby toddler turkey,24703010
toddler meal,76700000
beef jerky,21602100
pork jerky,22002800
pork,22431000
canadian bacon,22501010
venison/deer jerky,23321900
venison sausage,23322100
bologna,25220410
head cheese,25220910
mortadella,25221210
pastrami,25221215
pepperoni,25221250
salami,25221500
luncheon meat,25230110
ham luncheon meat,25230420
spam,25230530
liverwurst,25230560
turkey,25230780
turkey ham,25230800
meat spread or potted meat,25240000
chicken salad spread,25240110
ham salad spread,25240220
pork bacon,22600200
bacon or side pork,22601040
turkey bacon,24208500
bacon bits,41810250
fried pork chunks,22402510
ribs,22700000
pork skin rinds,22709010
barbecue pork,27120040
barbecue meat,27100100
beef with tomato-based sauce,27111000
beef goulash,27111100
beef burgundy,27111200
beef stew,27111300
chili con carne,27111400
chili con carne with beans,27111405
chili con carne without beans,27111420
chili con carne with beans and cheese,27111440
sloppy joe,27111500
beef with gravy,27112000
salisbury steak with gravy,27112010
beef with cream or white sauce,27113000
beef stroganoff,27113100
creamed chipped or dried beef,27113200
swedish meatballs with cream or white sauce,27113300
beef with mushroom sauce,27114000
beef curry,27116100
beef curry with rice,27116110
stewed seasoned ground beef,27116350
steak tartare,27116400
meatballs,27118110
stewed dried beef,27118130
stuffed pot roast,27118140
ham or pork with gravy,27120020
ham stroganoff,27120080
ham or pork with mushroom sauce,27120090
ham or pork with tomato-based sauce,27120100
sausage with tomato-based sauce,27120110
sausage gravy,27120120
pork stew,27120130
chili hot dog,27120210
frankfurters or hot dogs with tomato-based sauce,27120250
pork with chili and tomatoes,27121000
stewed pork,27121010
lamb or mutton with gravy,27130010
stewed goat,27133010
veal with gravy,27135010
veal scallopini,27135020
veal with cream sauce,27135030
veal with butter sauce,27135040
veal marsala,27135050
veal parmigiana,27135110
veal cordon bleu,27135150
venison or deer with tomato-based sauce,27136050
venison or deer with gravy,27136080
chili con carne with venison/deer and beans,27136100
meat loaf,27161010
meat with tomato-based sauce,27162010
stewed,27162500
meat with gravy,27163010
beef and potatoes,27211000
beef stew with potatoes,27211110
beef and potatoes with cream sauce,27211190
corned beef hash,27211400
beef and potatoes with cheese sauce,27211500
beef and noodles,27212000
beef and macaroni with cheese sauce,27212050
beef and noodles with tomato-based sauce,27212100
chili con carne with beans and macaroni,27212120
beef goulash with noodles,27212150
beef and noodles with gravy,27212200
beef and noodles with cream or white sauce,27212300
beef stroganoff with noodles,27212350
beef and noodles with mushroom sauce,27212400
beef and rice,27213000
beef and rice with tomato-based sauce,27213100
porcupine balls with tomato-based sauce,27213120
beef and rice with gravy,27213200
beef and rice with cream sauce,27213300
beef and rice with mushroom sauce,27213400
porcupine balls with mushroom sauce,27213420
beef and rice with cheese sauce,27213600
meat loaf made with beef,27214100
beef wellington,27214300
corned beef patty,27214500
stewed corned beef,27218310
meat loaf made with ham,27220010
ham and noodles with cream or white sauce,27220020
ham and rice with mushroom sauce,27220030
ham or pork with stuffing,27220050
ham croquette,27220080
pork and rice with tomato-based sauce,27220110
sausage and rice with tomato-based sauce,27220120
sausage and rice with mushroom sauce,27220150
sausage and rice with cheese sauce,27220170
sausage and noodles with cream or white sauce,27220190
ham and noodles,27220210
ham or pork and rice,27220310
ham or pork and potatoes with gravy,27220510
ham or pork and potatoes with cheese sauce,27220520
stewed pig's feet,27221100
stuffed pork roast,27221110
lamb or mutton loaf,27230010
lamb or mutton and potatoes with gravy,27231000
lamb or mutton and potatoes with tomato-based sauce,27232000
lamb or mutton and noodles with gravy,27233000
meat loaf made with venison/deer,27235000
veal and noodles with cream or white sauce,27235750
venison or deer and noodles with cream or white sauce,27236000
meat loaf made with beef and pork,27260080
hash,27260110
vienna sausages stewed with potatoes,27260500
corned beef,27311210
beef stew with potatoes and vegetables including carrots,27311310
beef stew with potatoes and vegetables excluding carrots,27311320
shepherd's pie,27311510
stuffed cabbage rolls with beef and rice,27315250
stuffed grape leaves with beef and rice,27315270
pot pie,27317010
stuffed green pepper,27319010
ham or pork,27320025
sausage,27320080
lamb or mutton,27330050
stuffed grape leaves with lamb and rice,27330170
lamb or mutton stew with potatoes and vegetables including carrots,27330210
veal fricassee,27331150
stewed rabbit,27335500
venison or deer stew with potatoes and vegetables including carrots,27336100
venison or deer,27336200
stew,27360000
stewed variety meats,27361010
stewed tripe,27362000
beef and vegetables including carrots,27410210
beef and vegetables excluding carrots,27410220
beef shish kabob with vegetables,27410250
beef with vegetables including carrots,27411100
swiss steak,27411120
beef rolls,27411150
beef with vegetables excluding carrots,27411200
beef and vegetables,27416100
pepper steak,27416150
beef salad,27416250
seasoned shredded soup meat,27418110
beef stew with vegetables excluding potatoes,27418210
corned beef with tomato sauce and onion,27418310
beef steak with onions,27418410
cabbage with ham hocks,27420010
ham or pork salad,27420020
frankfurters or hot dogs and sauerkraut,27420040
pork and vegetables including carrots,27420060
pork hash,27420200
ham and vegetables including carrots broccoli,27420250
ham and vegetables excluding carrots,27420270
pork and vegetables excluding carrots,27420350
pork and vegetables excluding  carrots,27420410
sausage and vegetables including  carrots,27420450
sausage and vegetables,27420460
sausage and peppers,27420470
pork shish kabob with vegetables,27420520
stuffed christophine,27421010
pork chop stewed with vegetables,27422010
lamb or mutton stew with vegetables including carrots,27430400
veal with vegetables including carrots,27430580
veal with vegetables excluding carrots,27430590
lamb shish kabob with vegetables,27430610
julienne salad,27460490
antipasto with ham,27460510
liver,27460750
stewed chitterlings,27462000
frozen dinner,28101000
beef dinner,28110000
beef with vegetable,28110150
salisbury steak dinner,28110300
beef with spaetzle or rice,28113140
meat loaf dinner,28160300
meat loaf with potatoes,28160310
kibby,58117310
hayacas,58117510
pancakes and sausage,58310310
ripe plantain meat pie,77205610
cassava pasteles,77230210
puerto rican pasteles,77272010
stuffed cabbage,77316010
eggplant and meat casserole,77316600
fat back,22621100
table fat,81100000
butter,81100500
butter-oil blend,81104490
animal fat or drippings,81201000
lard,81202000
ghee,81204000
honey butter,81322000
lamb,23000100
goat,23150100
rabbit,23310000
venison,23321000
moose,23323100
bear,23323500
caribou,23324100
bison,23326100
groundhog,23331100
opossum,23332100
squirrel,23333100
beaver,23334100
raccoon,23335100
armadillo,23340100
wild pig,23345100
ostrich,23350100
turkey light or dark meat,24201420
duck,24300110
goose,24311010
cornish game hen,24400010
dove,24402100
quail,24403100
pheasant,24404100
chicken breast,24120110
chicken leg,24130210
chicken drumstick,24140210
chicken thigh,24150210
chicken wing,24160110
"chicken ""wings"" with hot sauce",24168000
"chicken ""wings"" with other sauces or seasoning",24168001
"chicken ""wings""",24168002
chicken skin,24198440
chicken feet,24198500
fried chicken chunks,24198840
chicken patty,24198671
chicken fillet,24198677
chicken nuggets,24198729
chicken tenders or strips,24198739
heart,25120000
kidney,25130000
sweetbreads,25140110
brains,25150000
tongue,25160000
tongue pot roast,25160130
tripe,25170110
chitterlings,25170210
hog maws,25170310
gizzard,25170420
hot dog,25210110
beef sausage,25220105
beef sausage with cheese,25220150
blood sausage,25220210
bratwurst,25220350
turkey or chicken and beef sausage,25220650
chorizo,25220710
knockwurst,25221110
polish sausage,25221310
italian sausage,25221350
pork sausage,25221405
pork sausage rice links,25221450
pork and beef sausage,25221460
scrapple,25221610
thuringer,25221810
turkey or chicken sausage,25221830
turkey or chicken and pork sausage,25221870
turkey or chicken,25221875
vienna sausage,25221910
pickled sausage,25221950
fish,26100100
caviar,26211100
imitation crab meat,27250520
frog legs,26203110
octopus,26205110
calamari,26213120
turtle,26215120
shellfish,26300000
abalone,26301110
clams,26303100
crab,26305160
crayfish,26309140
lobster,26311110
mussels,26313110
oysters,26315100
scallops,26317120
shrimp,26319110
escargot,26321110
shrimp cocktail,27150110
seafood sauce,27150140
shrimp scampi,27150230
beef with soy-based sauce,27115000
steak teriyaki,27115100
beef with sweet and sour sauce,27116300
sweet and sour pork,27120060
pork or ham with soy-based sauce,27120150
chicken or turkey with teriyaki,27145000
sweet and sour chicken or turkey,27146100
orange chicken,27146350
sesame chicken,27146360
sweet and sour shrimp,27150170
shrimp teriyaki,27150410
beef and noodles with soy-based sauce,27212500
beef and rice with soy-based sauce,27213500
chicken or turkey and noodles with soy-based sauce,27242500
chicken or turkey and rice with soy-based sauce,27243600
shrimp and noodles with soy-based sauce,27250128
sweet and sour pork with rice,27320500
chicken or turkey,27345310
beef and broccoli,27415110
szechuan beef,27415130
hunan beef,27415140
kung pao beef,27415170
stir fried beef and vegetables in soy sauce,27416400
pork and vegetables,27420110
pork and watercress with soy-based sauce,27420120
kung pao pork,27420150
moo shu pork,27420160
pork and onions with soy-based sauce,27420170
chicken or turkey and vegetables including carrots,27445110
chicken or turkey and vegetables excluding carrots,27445120
general tso chicken,27445150
moo goo gai pan,27445180
kung pao chicken,27445220
almond chicken,27445250
shrimp and vegetables including carrots,27450410
shrimp and vegetables excluding carrots,27450420
kung pao shrimp,27450470
shellfish mixture and vegetables including carrots,27450600
shellfish mixture and vegetables excluding carrots,27450610
fish and vegetables including carrots,27450740
fish and vegetables excluding  carrots,27450750
teriyaki chicken with rice and vegetable,28141201
chicken in soy-based sauce,28143200
egg foo yung,32105200
chicken egg foo yung,32105210
pork egg foo yung,32105220
shrimp egg foo yung,32105230
beef egg foo yung,32105240
tofu and vegetables including carrots,41812500
tofu and vegetables excluding carrots,41812510
chow mein or chop suey,75439500
chicken or turkey cacciatore,27141000
stewed chicken with tomato-based sauce,27141050
chili con carne with chicken or turkey and beans,27141500
chicken with gravy,27142000
chicken or turkey fricassee,27142100
turkey with gravy,27142200
chicken or turkey with cream sauce,27143000
chicken or turkey with mushroom sauce,27144000
barbecue chicken,27146011
chicken curry,27146150
chicken curry with rice,27146155
chicken with mole sauce,27146160
chicken or turkey with cheese sauce,27146200
chicken or turkey cordon bleu,27146250
chicken or turkey parmigiana,27146300
chicken kiev,27146400
stuffed chicken,27148010
chicken or turkey hash,27241000
chicken or turkey and potatoes with gravy,27241010
chicken or turkey and noodles,27242000
chicken or turkey and noodles with gravy,27242200
chicken or turkey and noodles with mushroom sauce,27242250
chicken or turkey and noodles with cream or white sauce,27242300
chicken or turkey and noodles with cheese sauce,27242310
chicken or turkey tetrazzini,27242350
chicken or turkey and noodles with tomato-based sauce,27242400
chicken or turkey and rice,27243000
chicken or turkey and rice with cream sauce,27243300
chicken or turkey and rice with mushroom sauce,27243400
chicken or turkey and rice with tomato-based sauce,27243500
chicken or turkey with dumplings,27246100
chicken or turkey with stuffing,27246200
chicken or turkey cake,27246300
chicken or turkey souffle,27246400
meat loaf made with chicken or turkey,27246500
chicken or turkey stew with potatoes and vegetables including carrots,27341310
chicken or turkey stew with potatoes and vegetables excluding carrots,27341520
chicken fricassee,27348100
chicken or turkey shish kabob with vegetables,27440130
chicken or turkey creole,27441120
chicken or turkey a la king with vegetables including carrots,27443110
chicken or turkey a la king with vegetables excluding carrorts,27443120
chicken or turkey divan,27443150
chicken or turkey salad,27446200
chicken or turkey salad with nuts and/or fruits,27446205
chicken or turkey salad with egg,27446220
chicken or turkey garden salad,27446300
chicken or turkey garden salad with bacon and cheese,27446315
chicken or turkey garden salad with cheese,27446330
asian chicken or turkey garden salad,27446350
asian chicken or turkey garden salad with crispy noodles,27446355
chicken or turkey caesar garden salad,27446360
livers,27460710
stewed gizzards,27463000
chicken dinner,28140100
chicken with rice and vegetable,28141250
chicken and vegetables au gratin with rice,28141650
chicken and vegetable entree with rice,28143020
chicken with noodles and cheese sauce,28143080
chicken and vegetable entree with noodles,28143150
chicken and vegetable entree with noodles and cream sauce,28144100
turkey with vegetable,28145110
chicken cornbread,58128110
adobo,58137300
spaghetti sauce with poultry,27141030
spaghetti sauce with poultry and added vegetables,27141035
spaghetti sauce with seafood,27150151
spaghetti sauce with seafood and added vegetables,27150155
spaghetti sauce with meat,27162040
spaghetti sauce with meat and added vegetables,27162060
spaghetti sauce,74404010
spaghetti sauce with added vegetables,74404020
vodka sauce with tomatoes and cream,74404090
fish with cream or white sauce,27150010
fish timbale or mousse,27150050
tuna with cream or white sauce,27150120
seafood thermidor,27150130
shrimp with lobster sauce,27150160
fish with tomato-based sauce,27150310
fish curry,27150320
fish curry with rice,27150325
ceviche,27151030
crabs in tomato-based sauce,27151040
shrimp in garlic sauce,27151050
bacalao guisado,27151070
gefilte fish,27250060
scallops and noodles with cheese sauce,27250110
shrimp and noodles,27250120
shrimp and noodles with gravy,27250122
shrimp and noodles with mushroom sauce,27250124
shrimp and noodles with cream or white sauce,27250126
shrimp and noodles with cheese sauce,27250130
shrimp and noodles with tomato sauce,27250132
tuna loaf,27250150
tuna cake or patty,27250160
clam cake or patty,27250210
flounder with crab stuffing,27250250
lobster with bread stuffing,27250260
clams casino,27250270
shrimp with crab stuffing,27250410
shrimp toast,27250450
seafood souffle,27250550
tuna noodle casserole with cream or white sauce,27250610
tuna noodle casserole with mushroom sauce,27250630
tuna and rice with mushroom sauce,27250710
fish and rice with tomato-based sauce,27250810
fish and rice with cream sauce,27250820
fish and rice with mushroom sauce,27250830
fish and noodles with mushroom sauce,27250900
shellfish and noodles with tomato-based sauce,27250950
stewed salmon,27251010
shrimp creole,27350060
tuna noodle casserole with vegetables,27350080
bouillabaisse,27350110
seafood stew with potatoes and vegetables including carrots,27350310
tuna noodle casserole with vegetables and mushroom sauce,27350410
codfish with starchy vegetables,27351010
biscayne codfish,27351040
gumbo with rice,27363000
crab salad,27450010
lobster salad,27450020
salmon salad,27450030
tuna salad,27450060
shrimp salad,27450070
seafood salad,27450080
tuna salad with cheese,27450090
tuna salad with egg,27450100
shrimp garden salad,27450110
crab salad made with imitation crab,27450130
seafood garden salad with seafood,27450180
oysters rockefeller,27450250
lomi salmon,27450310
shrimp shish kabob with vegetables,27450430
tuna casserole with vegetables and mushroom sauce,27450510
fish and vegetables excluding carrots,27450710
fish shish kabob with vegetables,27450760
fried fish with sauce,27451010
lobster with sauce,27451030
octopus salad,27451060
codfish salad,27451070
lau lau,27460100
gumbo,27464000
fish in lemon-butter sauce with starch item,28150510
shrimp and vegetables in sauce with noodles,28154010
lobster gumbo,28355260
shrimp gumbo,28355440
bacalaitos fritos,58117410
fish sauce,27150210
oyster sauce,28520100
miso sauce,41420100
miso,41420110
natto,41420200
hoisin sauce,41420250
soy sauce,41420300
teriyaki sauce,41420400
biryani with meat,27213010
biryani with chicken,27243100
paella with seafood,27350020
paella,27360090
jambalaya with meat and rice,27363100
cake made with glutinous rice,55701000
idli,55702000
cake made with glutinous rice and dried beans,55703000
bibimbap,58150100
dukboki or tteokbokki,58150520
rice with chicken,58155110
paella with meat,58155310
seafood paella,58155320
stewed rice,58155810
rice with squid,58155910
fried rice,58156110
rice with vienna sausage,58156210
rice with spanish sausage,58156310
rice with onions,58156410
rice with stewed beans,58156710
congee,58157300
biryani with vegetables,58160000
rice,58160400
grape leaves stuffed with rice,58161510
rice croquette,58161710
rice pilaf,58162310
dirty rice,58163130
flavored rice mixture,58163310
flavored rice mixture with cheese,58163330
flavored rice,58163360
flavored rice and pasta mixture,58163380
spanish rice,58163405
spanish rice with ground beef,58163450
rice dressing,58163510
rice with raisins,58164110
rice dessert or salad with fruit,58164210
beef chow mein or chop suey with noodles,27313110
